age,mx,qx,lx,dx,ex
0,0.003542,0.003536,100000.0,353.6,83.06
1,0.000213,0.000213,99646.4,21.2,82.35
2,0.000127,0.000127,99625.2,12.6,81.37
3,0.000098,0.000098,99612.6,9.8,80.38
4,0.000068,0.000068,99602.7,6.7,79.39
5,0.000086,0.000086,99596.0,8.6,78.39
6,0.000082,0.000082,99587.4,8.1,77.40
7,0.000062,0.000062,99579.3,6.2,76.41
8,0.000064,0.000064,99573.1,6.4,75.41
9,0.000053,0.000053,99566.7,5.3,74.42
10,0.000064,0.000064,99561.5,6.4,73.42
11,0.000066,0.000066,99555.1,6.5,72.42
12,0.000060,0.000060,99548.5,5.9,71.43
13,0.000080,0.000080,99542.6,8.0,70.43
14,0.000101,0.000101,99534.6,10.1,69.44
15,0.000112,0.000112,99524.6,11.1,68.45
16,0.000147,0.000147,99513.4,14.6,67.45
17,0.000159,0.000159,99498.8,15.8,66.46
18,0.000227,0.000227,99483.0,22.6,65.47
19,0.000200,0.000200,99460.4,19.9,64.49
20,0.000190,0.000190,99440.5,18.9,63.50
21,0.000211,0.000211,99421.6,21.0,62.51
22,0.000229,0.000229,99400.6,22.7,61.53
23,0.000222,0.000222,99377.9,22.0,60.54
24,0.000222,0.000222,99355.8,22.1,59.55
25,0.000254,0.000254,99333.8,25.2,58.57
26,0.000262,0.000262,99308.6,26.0,57.58
27,0.000292,0.000292,99282.6,29.0,56.60
28,0.000314,0.000314,99253.5,31.2,55.61
29,0.000320,0.000320,99222.4,31.8,54.63
30,0.000370,0.000370,99190.6,36.7,53.65
31,0.000394,0.000394,99153.9,39.0,52.67
32,0.000453,0.000453,99114.9,44.9,51.69
33,0.000486,0.000486,99070.0,48.2,50.71
34,0.000556,0.000556,99021.8,55.0,49.74
35,0.000582,0.000582,98966.8,57.6,48.76
36,0.000645,0.000645,98909.2,63.8,47.79
37,0.000784,0.000784,98845.3,77.5,46.82
38,0.000732,0.000732,98767.9,72.3,45.86
39,0.000853,0.000852,98695.6,84.1,44.89
40,0.000903,0.000902,98611.5,89.0,43.93
41,0.000986,0.000986,98522.5,97.1,42.97
42,0.001073,0.001073,98425.4,105.6,42.01
43,0.001172,0.001171,98319.8,115.2,41.05
44,0.001317,0.001316,98204.7,129.3,40.10
45,0.001426,0.001425,98075.4,139.8,39.15
46,0.001566,0.001564,97935.6,153.2,38.21
47,0.001696,0.001695,97782.4,165.7,37.27
48,0.001842,0.001840,97616.7,179.6,36.33
49,0.001945,0.001943,97437.1,189.3,35.40
50,0.002171,0.002169,97247.8,210.9,34.47
51,0.002360,0.002358,97036.9,228.8,33.54
52,0.002560,0.002557,96808.1,247.5,32.62
53,0.002701,0.002697,96560.5,260.4,31.70
54,0.002918,0.002914,96300.1,280.6,30.78
55,0.003199,0.003194,96019.5,306.7,29.87
56,0.003548,0.003542,95712.8,339.0,28.97
57,0.003823,0.003816,95373.8,363.9,28.07
58,0.004239,0.004230,95009.9,401.9,27.17
59,0.004627,0.004616,94608.0,436.7,26.29
60,0.005067,0.005054,94171.2,476.0,25.41
61,0.005507,0.005492,93695.2,514.6,24.53
62,0.006284,0.006264,93180.6,583.7,23.67
63,0.006737,0.006714,92596.9,621.7,22.81
64,0.007291,0.007264,91975.2,668.1,21.96
65,0.008020,0.007988,91307.1,729.4,21.12
66,0.008609,0.008573,90577.7,776.5,20.29
67,0.009424,0.009380,89801.2,842.3,19.46
68,0.010383,0.010330,88958.9,918.9,18.64
69,0.011360,0.011296,88040.0,994.5,17.83
70,0.012515,0.012437,87045.5,1082.6,17.02
71,0.013427,0.013337,85962.9,1146.5,16.23
72,0.015358,0.015241,84816.4,1292.7,15.44
73,0.017499,0.017347,83523.7,1448.9,14.68
74,0.019352,0.019167,82074.7,1573.1,13.93
75,0.021670,0.021437,80501.7,1725.7,13.19
76,0.024514,0.024217,78775.9,1907.7,12.47
77,0.027686,0.027308,76868.2,2099.1,11.76
78,0.031448,0.030961,74769.1,2314.9,11.08
79,0.035086,0.034481,72454.2,2498.3,10.42
80,0.039217,0.038463,69955.9,2690.7,9.77
81,0.044607,0.043634,67265.2,2935.0,9.14
82,0.050187,0.048958,64330.1,3149.5,8.54
83,0.057897,0.056269,61180.6,3442.5,7.95
84,0.066047,0.063935,57738.1,3691.5,7.39
85,0.075186,0.072462,54046.6,3916.3,6.87
86,0.086696,0.083094,50130.3,4165.5,6.36
87,0.098044,0.093462,45964.7,4296.0,5.89
88,0.112417,0.106434,41668.8,4435.0,5.45
89,0.126463,0.118942,37233.8,4428.7,5.04
90,0.144067,0.134387,32805.1,4408.6,4.65
91,0.163045,0.150755,28396.5,4280.9,4.30
92,0.182309,0.167079,24115.6,4029.2,3.97
93,0.203060,0.184344,20086.4,3702.8,3.67
94,0.227750,0.204467,16383.6,3349.9,3.38
95,0.257603,0.228210,13033.7,2974.4,3.12
96,0.286714,0.250765,10059.3,2522.5,2.90
97,0.308214,0.267058,7536.8,2012.8,2.70
98,0.340907,0.291260,5524.0,1608.9,2.51
99,0.366200,0.309526,3915.1,1211.8,2.33
100,0.414530,0.343363,2703.3,928.2,2.15